Files already downloaded and verified
Files already downloaded and verified
Files already downloaded and verified
Train Epoch: 19 [30720/49000 (62%)]	Train Loss: 1.124806	Val Loss: 1.170610	Val Acc: 59
Train Epoch: 19 [35840/49000 (73%)]	Train Loss: 1.278952	Val Loss: 1.184213	Val Acc: 59
Train Epoch: 19 [40960/49000 (83%)]	Train Loss: 1.212098	Val Loss: 1.163505	Val Acc: 58
Train Epoch: 19 [46080/49000 (94%)]	Train Loss: 1.231053	Val Loss: 1.165872	Val Acc: 59
Train Epoch: 20 [0/49000 (0%)]	Train Loss: 1.102485	Val Loss: 1.158295	Val Acc: 58
Train Epoch: 20 [5120/49000 (10%)]	Train Loss: 1.162498	Val Loss: 1.164076	Val Acc: 58
Train Epoch: 20 [10240/49000 (21%)]	Train Loss: 1.198920	Val Loss: 1.177314	Val Acc: 58
Train Epoch: 20 [15360/49000 (31%)]	Train Loss: 1.147485	Val Loss: 1.182350	Val Acc: 58
Train Epoch: 20 [20480/49000 (42%)]	Train Loss: 1.262877	Val Loss: 1.162954	Val Acc: 59
Train Epoch: 20 [25600/49000 (52%)]	Train Loss: 1.201111	Val Loss: 1.169439	Val Acc: 57
Train Epoch: 20 [30720/49000 (62%)]	Train Loss: 1.150580	Val Loss: 1.171531	Val Acc: 58
Train Epoch: 20 [35840/49000 (73%)]	Train Loss: 1.181760	Val Loss: 1.157385	Val Acc: 60
Train Epoch: 20 [40960/49000 (83%)]	Train Loss: 1.154287	Val Loss: 1.166246	Val Acc: 58
Train Epoch: 20 [46080/49000 (94%)]	Train Loss: 1.163889	Val Loss: 1.155033	Val Acc: 58
Train Epoch: 21 [0/49000 (0%)]	Train Loss: 1.160819	Val Loss: 1.157744	Val Acc: 59
Train Epoch: 21 [5120/49000 (10%)]	Train Loss: 1.098892	Val Loss: 1.157476	Val Acc: 59
Train Epoch: 21 [10240/49000 (21%)]	Train Loss: 1.137029	Val Loss: 1.166632	Val Acc: 59
Train Epoch: 21 [15360/49000 (31%)]	Train Loss: 1.032000	Val Loss: 1.150807	Val Acc: 60
Train Epoch: 21 [20480/49000 (42%)]	Train Loss: 1.182299	Val Loss: 1.145760	Val Acc: 58
Train Epoch: 21 [25600/49000 (52%)]	Train Loss: 1.103118	Val Loss: 1.145572	Val Acc: 59
Train Epoch: 21 [30720/49000 (62%)]	Train Loss: 1.088423	Val Loss: 1.163273	Val Acc: 59
Train Epoch: 21 [35840/49000 (73%)]	Train Loss: 1.170373	Val Loss: 1.169217	Val Acc: 58
Train Epoch: 21 [40960/49000 (83%)]	Train Loss: 1.095996	Val Loss: 1.156912	Val Acc: 59
Train Epoch: 21 [46080/49000 (94%)]	Train Loss: 1.176616	Val Loss: 1.160223	Val Acc: 59
Train Epoch: 22 [0/49000 (0%)]	Train Loss: 1.119707	Val Loss: 1.155398	Val Acc: 58
Train Epoch: 22 [5120/49000 (10%)]	Train Loss: 1.235375	Val Loss: 1.154252	Val Acc: 59
Train Epoch: 22 [10240/49000 (21%)]	Train Loss: 1.210123	Val Loss: 1.145224	Val Acc: 59
Train Epoch: 22 [15360/49000 (31%)]	Train Loss: 1.017223	Val Loss: 1.156679	Val Acc: 59
Train Epoch: 22 [20480/49000 (42%)]	Train Loss: 1.052769	Val Loss: 1.154087	Val Acc: 58
Train Epoch: 22 [25600/49000 (52%)]	Train Loss: 1.169885	Val Loss: 1.163330	Val Acc: 59
Train Epoch: 22 [30720/49000 (62%)]	Train Loss: 1.161432	Val Loss: 1.163863	Val Acc: 58
Train Epoch: 22 [35840/49000 (73%)]	Train Loss: 1.085268	Val Loss: 1.143464	Val Acc: 59
Train Epoch: 22 [40960/49000 (83%)]	Train Loss: 1.170948	Val Loss: 1.149014	Val Acc: 58
Train Epoch: 22 [46080/49000 (94%)]	Train Loss: 1.060149	Val Loss: 1.154355	Val Acc: 59
Train Epoch: 23 [0/49000 (0%)]	Train Loss: 1.135268	Val Loss: 1.154597	Val Acc: 58
Train Epoch: 23 [5120/49000 (10%)]	Train Loss: 1.114040	Val Loss: 1.141561	Val Acc: 59
Train Epoch: 23 [10240/49000 (21%)]	Train Loss: 1.038672	Val Loss: 1.145257	Val Acc: 59
Train Epoch: 23 [15360/49000 (31%)]	Train Loss: 1.166752	Val Loss: 1.135417	Val Acc: 59
Train Epoch: 23 [20480/49000 (42%)]	Train Loss: 1.153600	Val Loss: 1.134675	Val Acc: 58
Train Epoch: 23 [25600/49000 (52%)]	Train Loss: 1.083988	Val Loss: 1.128165	Val Acc: 59
Train Epoch: 23 [30720/49000 (62%)]	Train Loss: 1.076410	Val Loss: 1.135996	Val Acc: 59
Train Epoch: 23 [35840/49000 (73%)]	Train Loss: 1.091633	Val Loss: 1.148202	Val Acc: 58
Train Epoch: 23 [40960/49000 (83%)]	Train Loss: 1.197408	Val Loss: 1.147134	Val Acc: 59
Train Epoch: 23 [46080/49000 (94%)]	Train Loss: 1.047449	Val Loss: 1.140474	Val Acc: 59
Train Epoch: 24 [0/49000 (0%)]	Train Loss: 1.124132	Val Loss: 1.133933	Val Acc: 60
Train Epoch: 24 [5120/49000 (10%)]	Train Loss: 1.074728	Val Loss: 1.142707	Val Acc: 59
Train Epoch: 24 [10240/49000 (21%)]	Train Loss: 1.059129	Val Loss: 1.130485	Val Acc: 61
Train Epoch: 24 [15360/49000 (31%)]	Train Loss: 1.112975	Val Loss: 1.121827	Val Acc: 59
Train Epoch: 24 [20480/49000 (42%)]	Train Loss: 1.302030	Val Loss: 1.124890	Val Acc: 60
Train Epoch: 24 [25600/49000 (52%)]	Train Loss: 1.049030	Val Loss: 1.146137	Val Acc: 58
Train Epoch: 24 [30720/49000 (62%)]	Train Loss: 1.098958	Val Loss: 1.135545	Val Acc: 59
Train Epoch: 24 [35840/49000 (73%)]	Train Loss: 1.151500	Val Loss: 1.127234	Val Acc: 60
Train Epoch: 24 [40960/49000 (83%)]	Train Loss: 1.100518	Val Loss: 1.125662	Val Acc: 60
Train Epoch: 24 [46080/49000 (94%)]	Train Loss: 1.121196	Val Loss: 1.131462	Val Acc: 61
Train Epoch: 25 [0/49000 (0%)]	Train Loss: 1.101468	Val Loss: 1.130654	Val Acc: 59
